product_id,product_title,rating,total_reviews,price,top_reviews
itmcaf717e45f345,"TRIGGR Arcus One 60H Battery, 4 Mic ENC, Dual Pairing, ...",5.0,"1,780",₹999,"5.0 • Just wow! Review for: Color Forest Green • Microphone Yes superb bass Sakal Patel , Pune Helpful for 20 12 Verified Purchase · 4 months ago || 5.0 • Classy product Review for: Color Noble Violet • Microphone Yes The color is very light sound quality awesome best budget earbuds Raj  kumar , Aurangabad Helpful for 3 Verified Purchase · 4 months ago || 5.0 • Mind-blowing purchase Review for: Color Vanilla Beige • Microphone Yes Music sounds rich and detailed. Great for both calls and songs super sound Jaanat , Jalalabad Helpful for 8 4 Verified Purchase · 4 months ago || 5.0 • Best in the market! Review for: Color Vanilla Beige • Microphone Yes Gaming is a total blast with these buds because there is no lag at all and I can hear every footstep clearly while the battery just keeps going forever and ever TAKSH KASHYAP , Greater Noida Helpful for 3 Verified Purchase · 4 months ago || 5.0 • Terrific Review for: Color Noble Violet • Microphone Yes These earbuds sound incredible because the thirteen millimeter drivers provide such deep bass and the rubber grip keeps them from falling out of my ears while I am running fast SIDHART SHARMA , Saharanpur Helpful for 3 1 Verified Purchase · 4 months ago || 5.0 • Terrific Review for: Color Infinite Black • Microphone Yes Good quality hameedullah ansari , Surat Helpful for 4 2 Verified Purchase · 4 months ago || 5.0 • Terrific purchase Review for: Color Vanilla Beige • Microphone Yes Smooth performance without audio drops. Reliable connection at all times.clear sound Sehar , Jalalabad Helpful for 4 3 Verified Purchase · 4 months ago || 5.0 • Best in the market! Review for: Color Forest Green • Microphone Yes Qulaity is superb... Battery backup is also very good.. Very easy to pair with your device Chhaya Verma , Pune Helpful for 4 3 Verified Purchase · 4 months ago || 5.0 • Best in the market! Review for: Color Vanilla Beige • Microphone Yes Music quality is good battery backup is good charging is fine really enjoyable Nav , Fazilka District Helpful for 1 Verified Purchase · 4 months ago || 4.0 • Good quality product Review for: Color Infinite Black • Microphone Yes This product is good but calling is  ok type Flipkart Customer , Purba Champaran District Helpful for 1 1 Verified Purchase · 2 months ago"
itm85458293738da,allons TWS Bluetooth Earbuds True Wireless Headphone wi...,3.6,"2,172",₹298,"5.0 • Terrific purchase Review for: Color Black • Microphone Yes Very very good Sahibeaalamkhan Khan , Lalitpur Helpful for 58 16 Verified Purchase · 9 months ago || 5.0 • Excellent Review for: Color Black • Microphone Yes Amazing product and very high quality sound and  realy God product for this range 😊 Flipkart Customer , Chhatarpur Helpful for 6 Verified Purchase · 4 months ago || 5.0 • Just wow! Review for: Color Black • Microphone Yes This is a super airpods I like this product. ☺️😁😘 Flipkart Customer , Talikkulam Helpful for 11 3 Verified Purchase · 3 months ago || 5.0 • Fabulous! Review for: Color Black • Microphone Yes Recieved on time. 👍Great product. Sound quality super. Worth it 👍👍 Saranya Shyam , Kalamassery Helpful for 8 2 Verified Purchase · 5 months ago || 5.0 • Great product Review for: Color Black • Microphone Yes Very good Yokesh Yokesh , Cuddalore Helpful for 6 1 Verified Purchase · 8 months ago || 2.0 • Bad quality Review for: Color Black • Microphone Yes Bad Flipkart Customer , Kanpur Helpful for 4 Verified Purchase · 1 month ago || 2.0 • Could be way better Review for: Color Black • Microphone Yes Bad backup very  bad 😔 almost 30 minutes battery backup Manish  Pandey , Shillong Helpful for 21 11 Verified Purchase · 9 months ago || 5.0 • Worth every penny Review for: Color Black • Microphone Yes Nyc product Kailash Saran , Jodhpur Helpful for 2 Verified Purchase · 6 months ago || 4.0 • Good quality product Review for: Color Black • Microphone Yes good khushi faujdar , Bharatpur Helpful for 1 Verified Purchase · 1 month ago || 3.0 • Nice Review for: Color Black • Microphone Yes Good Rakesh  Kumar , Barauni Helpful for 2 1 Verified Purchase · 9 months ago"
itmd6b839c49e815,"boAt Airdopes Alpha,35H Battery, 13mm Drivers,ENx, Stre...",4.0,"7,83,804",₹799,"4.0 • Waste of money! Review for: Color Jet Black • Microphone Yes After a few days of use, Airdopes will be automatically disconnected while in use. Abhishek  Kumar , Patna Helpful for 5K 2K Verified Purchase · Sep, 2023 || 4.0 • Good choice Review for: Color Jet Black • Microphone Yes Good battery backup Easy to carry Bass is medium but it's okay. Sound quality is also medium. But u will like it 💯 Little bit Sound is heard outside  ,so take care whenever u doing anything near your... more Priyanshi Laguri , Jagannathpur Helpful for 363 153 Verified Purchase · Jun, 2024 || 3.0 • Fair Review for: Color Jet Black • Microphone Yes Left earbuds is not working Jaishree Dargar , Konkan Division Helpful for 168 47 Verified Purchase · Jul, 2025 || 5.0 • Mind-blowing purchase Review for: Color Dark Cyan • Microphone Yes Nice quality 👍👍👍👍 Anjali  Gautam , Modinagar Helpful for 4K 1K Verified Purchase · Jul, 2023 || 4.0 • Nice product Review for: Color Swedish White • Microphone Yes Three things to say about Alpha.. - value for money  - clear audio and Calling  - Perfect battery backup Vishal Dangi , Indore Helpful for 2K 790 Verified Purchase · Jul, 2023 || 5.0 • Terrific purchase Review for: Color Jet Black • Microphone Yes Value For Money Product  High Bass  High Battery Backup  Very Comfortable  Not search another product Buy this Thank You So Much BoAt Flipkart Customer , Malappuram Helpful for 1K 393 Verified Purchase · Jul, 2023 || 4.0 • Really Nice Review for: Color Dark Cyan • Microphone Yes Very good product .. must buy ... Battey backup is so good ... Never go other product .... Many people comment worst but .. actually it's real and good product I had used .. don't go other comment .. ok Flipkart Customer , Baksa Helpful for 218 99 Verified Purchase · Nov, 2024 || 4.0 • Value-for-money Review for: Color Jet Black • Microphone Yes Good finish... Good sound... Good price.. Good weight.. Only issue is its fit in the ear... Sometimes it seems loose.. Otherwise great product.. DEBOJIT MITRA , Kolkata Helpful for 307 145 Verified Purchase · Jul, 2023 || 4.0 • Delightful Review for: Color Swedish White • Microphone Yes This product is amazing , sound quality impressive and bass too good , charging case is small portable size . Amit Jena , Pattamundai Helpful for 1K 544 Verified Purchase · Jul, 2023 || 5.0 • Mind-blowing purchase Review for: Color Jet Black • Microphone Yes These earbuds are very nice and working properly . Sound quality is also good . I really love this product .These earbuds feel robust and well-built. They have survived accidental drops and exposure t... more omprakash j , Ratlam Helpful for 193 67 Verified Purchase · Sep, 2023"
itmee33cb4f8c0b2,"boAt Airdopes 161/163,ASAP Charge,40 H Battery, Stream ...",4.0,"15,75,933",₹799,"4.0 • Worth the money Review for: Color Pebble Black • Microphone Yes Sound Quality Is Excellent 5⭐⭐⭐⭐⭐ Bass is Outstanding 5⭐⭐⭐⭐⭐ Battery Life is Excellent 5⭐⭐⭐⭐⭐ Calling is Average 3⭐⭐⭐ Overall Awsome Product 4.5⭐⭐⭐⭐✨ sanjay kumar gupta , Brajarajnagar Helpful for 6K 3K Verified Purchase · Jul, 2022 || 3.0 • Fair Review for: Color Pebble Black • Microphone Yes Earbud is good all is enough better but problem is when earbud attach with ear after some time the ear is paining badly, so it is better that you focus on deaign Ramjit Prajapati , Tikari Helpful for 332 90 Verified Purchase · Jan, 2022 || 5.0 • Best in the market! Review for: Color Pearl White • Microphone Yes Very very nice 👍👍 and good quality and very cute and very small nice and I loved it Vishwa Vishwa , Shahpur Helpful for 154 37 Verified Purchase · Aug, 2022 || 5.0 • Classy product Review for: Color Pearl White • Microphone Yes The song in it is so beautiful to listen to and it also holds the charger so nicely I really like it 100% super 👌 Amirthanraj  Murugaselvam , Dharmapuri District Helpful for 5K 2K Verified Purchase · Jan, 2022 || 5.0 • Terrific Review for: Color Pebble Black • Microphone Yes Fabulous in this range 🔥🔥 1. Sound quality is outstanding , 👍 2. Premium built quality and look  3. Battery backup is mind blowing 🔋 4. Worth of money 💰💵 5. Finally Fully loaded and upgraded product ABHISHEK  KUMAR , Saharsa District Helpful for 8K 3K Verified Purchase · Jan, 2022 || 5.0 • Best in the market! Review for: Color Pebble Black • Microphone Yes Nice product. Rashmita Shukla , Bhadrak Helpful for 2K 762 Verified Purchase · Mar, 2023 || 5.0 • Terrific Review for: Color Cool Sapphire • Microphone Yes Thanks to Flipkart for super fast delivery. The order was delivered to me in 13-14 hours which is very good! Now coming to the earbuds, The package/box has the following contents on unboxing :- 1. ... more Kaushik Ganguly , Kolkata Helpful for 3K 900 Verified Purchase · Jan, 2022 || 5.0 • Must buy! Review for: Color Pebble Black • Microphone Yes As I'm music lover person, I used many earbuds but this one beat all and I can say it Only one word BEST in all departments. Definitely must buy product..go for it.  I know all people looking for bass... more Flipkart Customer , Ranchi Helpful for 3K 876 Verified Purchase · Jan, 2022 || 4.0 • Delightful Review for: Color Cool Sapphire • Microphone Yes I liked the design most. Due to it's amazing design,product will never fall from ears.it fits very well in ear, we can run, play while listening music in... ARSHAD ANSARI , Bhubaneswar Helpful for 552 228 Verified Purchase · Jan, 2022 || 5.0 • Fabulous! Review for: Color Pebble Black • Microphone Yes Worth it at this price bass is so deep and very clear sound. 🤗🤗 And it's look is also interesting  everytime u see their case u feel happy and value for money 🤑🖖🥰 Saurabh Sisodiya , Rafiganj Helpful for 2K 755 Verified Purchase · Jan, 2022"
itm4f19978c1f83d,"TRIGGR Raptor 30ms Low Latency, Rapid Pairing, 4 Mic EN...",3.8,"2,076","₹1,299","5.0 • Great product Review for: Color Arctic White • Microphone Yes 30 Ms low latency is good for BGMI I specially bought it for BGMI Sanjib Sonowal , Bengaluru Helpful for 46 9 Verified Purchase · 6 months ago || 5.0 • Mind-blowing purchase Review for: Color Vortex Black • Microphone Yes The design and build quality is very good. The sound is crystal clear which I really liked but the bass is decent but still it is a good buy at this price. Karan singh Rajput , Patiala Helpful for 24 7 Verified Purchase · 7 months ago || 5.0 • Simply awesome Review for: Color Vortex Black • Microphone Yes Good 😊👍 product 🔁🥰 Pintu Kumar , Purnia Helpful for 23 8 Verified Purchase · 7 months ago || 5.0 • Terrific Review for: Color Vortex Black • Microphone Yes Ultra-low 30 ms latency creates lag-free gaming and streaming. Four mics pick up voices clearly, even in noise. The spaceship design feels futuristic Great choice for gamers, commuters, and long liste... more Dipesh  Bhai , Anand Helpful for 15 6 Verified Purchase · 7 months ago || 3.0 • Fair Review for: Color Arctic White • Microphone Yes No dual pairing. But the company said its dual pairing. So just note before you buy. Bass and stereo are okay 3.5/5. Kalwala Rajashekar , Hyderabad Helpful for 6 2 Verified Purchase · 7 months ago || 5.0 • Great product Review for: Color Vortex Black • Microphone Yes The design of these earbuds is very cool and stylish. The build quality is good too. The pairing process is smooth. The sound quality is too good. The vocals are crisp and clear. The battery life is v... more Rishabh  Jain , Jaipur Helpful for 10 4 Verified Purchase · 6 months ago || 5.0 • Perfect product! Review for: Color Arctic White • Microphone Yes Best in price range. Bass is good The reason I bought this its Design. Loved its Design. Overall best in mid range Earbuds for gaming. Deepak Patel , Faridpur Bareilly District Helpful for 3 Verified Purchase · 6 months ago || 3.0 • Fair Review for: Color Vortex Black • Microphone Yes Not satisfied with sound quality and bass.just okok. Mahesh  Palakurthi , Rangareddy Helpful for 2 Verified Purchase · 3 months ago || 4.0 • Very Good Review for: Color Vortex Black • Microphone Yes Everything is fine, but it gets hot when charging. I'll let you know after testing it with gaming. Everything else is fine, led stickers, cable, and everything else included in its price is fine. I'll... more Hemanshu Kumar , Hazipur Helpful for 3 Verified Purchase · 3 months ago || 5.0 • Wonderful Review for: Color Vortex Black • Microphone Yes best product for this price range and for bgmi best Sumit kumar  Bariha , Sambalpur Helpful for 4 Verified Purchase · 4 months ago"
itm90b3fd69d6097,"PHILIPS TAT1150RD Earbuds with ANC/ENC, 55H Playtime, 1...",3.7,"2,925","₹1,499","3.0 • Nice Review for: Color Red Mahogany • Microphone Yes Volume  level low Ansari  ansari , Kancheepuram Helpful for 14 Verified Purchase · 5 months ago || 5.0 • Brilliant Review for: Color Deep Black • Microphone Yes Very Good Actually!! These negative reviews are mostly done by local brands. This TWS is very good. Go for it.  Audio, Call, Connectivity all are very good.  Check the fitment for ANC, I used correct ... more Vishal Katyayani , Gurugram Helpful for 42 14 Verified Purchase · Jul, 2025 || 5.0 • Fabulous! Review for: Color Red Mahogany • Microphone Yes Super 👍 Flipkart Customer , Vizianagaram Helpful for 61 24 Verified Purchase · Apr, 2025 || 3.0 • Fair Review for: Color Deep Black • Microphone Yes Doesn't work well on colling Gyanendra Dwivedi , Belgaum Division Helpful for 16 6 Verified Purchase · Jun, 2025 || 5.0 • Classy product Review for: Color Bright White • Microphone Yes Fantastic Product, Value for money Tejo krishna  chirravuri , Bengaluru Helpful for 9 2 Verified Purchase · Jul, 2025 || 5.0 • Mind-blowing purchase Review for: Color Red Mahogany • Microphone Yes I'm satisfied with these earbuds. They're perfect for casual music listening, workouts, or calls. I'd recommend them to anyone looking for affordable, reliable earbuds. Rishabh  Kapoor , Ghaziabad Helpful for 14 5 Verified Purchase · May, 2025 || 5.0 • Just wow! Review for: Color Bright White • Microphone Yes Good Gowri L , Bangalore Division Helpful for 8 3 Verified Purchase · May, 2025 || 5.0 • Mind-blowing purchase Review for: Color Bright White • Microphone Yes Very good product Angad Kumar , Supa Midc Helpful for 5 1 Verified Purchase · May, 2025 || 5.0 • Highly recommended Review for: Color Deep Black • Microphone Yes I've been using philips tat1150 for weeks now, wonderful overall experience. Good audio quality, would totally recommend! Krati Bhardwaj , Bulandshahr Helpful for 8 3 Verified Purchase · Jul, 2025 || 2.0 • Nice Review for: Color Deep Black • Microphone Yes I'm not happy with the sound quality, i could've gone. for other options in this price Flipkart Customer , Bangalore Division Helpful for 9 8 Verified Purchase · Jul, 2025"
itm987886990dcbc,DSSB Premium Bluetooth Earbuds with HD Mic and Deep Bas...,,,₹292,"Minutes Everything in Minutes || Grocery At wholesale prices || Travel All your travel needs || 1 ★ 0 2 ★ 0 3 ★ 0 4 ★ 0 5 ★ 0 || GROUP COMPANIES Myntra Cleartrip Shopsy || HELP Payments Shipping Cancellation & Returns FAQ || CONSUMER POLICY Cancellation & Returns Terms Of Use Security Privacy Sitemap Grievance Redressal EPR Compliance FSSAI Food Safety Connect App || Buildings Alyssa, Begonia & || Clove Embassy Tech Village, || Outer Ring Road, Devarabeesanahalli Village,"
itmef110760d118d,myxes Tws Ecouteur Headsets Earphones Wireless Earbuds ...,3.7,"12,191",₹372,"5.0 • Must buy! Review for: Color Black • Microphone Yes Product is the best but money is almost altra Flipkart Customer , Mumbai Helpful for 329 76 Verified Purchase · Oct, 2022 || 5.0 • Fabulous! Review for: Color Black • Microphone Yes It's fantastic 👌 earbud 🎧 is wonderful 👍,I love 💕 this product.when delivered🚚 my product has package 📦 exlent . delivery person also good 👍.I thank him that he delivered nicely.also I than Fli... more Ajay  Kumar , Mahbubnagar District Helpful for 330 79 Verified Purchase · Nov, 2022 || 3.0 • Decent product Review for: Color Black • Microphone Yes Sound quality bad Flipkart Customer , Rajkot District Helpful for 12 1 Verified Purchase · Dec, 2022 || 5.0 • Just wow! Review for: Color Black • Microphone Yes Superb Flipkart Customer , Raichur Helpful for 48 10 Verified Purchase · Oct, 2022 || 5.0 • Fabulous! Review for: Color Black • Microphone Yes Very nice product.Everything is perfect.A great product. Flipkart Customer , Marampilly Helpful for 55 12 Verified Purchase · Nov, 2022 || 5.0 • Wonderful Review for: Color Black • Microphone Yes Nice product and good facility for power charged dual works on one product it is really benefit to us .......😊I am satisfied on this product cost Flipkart Customer , Jammalamadugu Helpful for 94 25 Verified Purchase · Dec, 2022 || 5.0 • Great product Review for: Color Black • Microphone Yes Nice product value for money 👍 Flipkart Customer , Yadgir Helpful for 21 4 Verified Purchase · Dec, 2022 || 5.0 • Mind-blowing purchase Review for: Color Black • Microphone Yes Nice product super Flipkart Customer , Murshidabad District Helpful for 25 5 Verified Purchase · Mar, 2023 || 5.0 • Fabulous! Review for: Color Black • Microphone Yes It is best product .. And it  is less cost.. And it is super Flipkart Customer , Hanamkonda Helpful for 7 Verified Purchase · Dec, 2022 || 5.0 • Mind-blowing purchase Review for: Color Black • Microphone Yes Good quality and best sound Flipkart Customer , Veraval Helpful for 23 4 Verified Purchase · Nov, 2022"
itmcaffc9be2871e,"Aroma NB120 Amaze Upto 50 Hours Playtime*, Fast Chargin...",4.0,"2,12,248",₹300,"4.0 • Very Good Review for: Color Black • Microphone Yes Good product.thank u flipkart. Suresh  Babu , Marandahalli Helpful for 235 97 Verified Purchase · Sep, 2021 || 5.0 • Excellent Review for: Color Black • Microphone Yes Product is very nice... Artist Virendra Chaudhary , Lakhimpur Helpful for 1K 346 Verified Purchase · Oct, 2021 || 5.0 • Brilliant Review for: Color Black • Microphone Yes Nice product ?? Yashoda Bisht , Jaipur Helpful for 337 89 Verified Purchase · Sep, 2021 || 5.0 • Terrific purchase Review for: Color Black • Microphone Yes Very good product sound is good and battery service is very  Good cost is good I am so happy Pawan Kumar , Muzaffarpur District Helpful for 508 141 Verified Purchase · Oct, 2021 || 5.0 • Perfect product! Review for: Color Black • Microphone Yes Very nice products good sounds good battery thank you flip cart and Aroma and delivery boy thank you very much I am very happy and my all costumers is very happy Flipkart Customer , Gurdaspur District Helpful for 459 128 Verified Purchase · Dec, 2021 || 5.0 • Perfect product! Review for: Color Magico Black • Microphone Yes Just go for it ignore negative reviews Muskan Maruf , Karjat Raigarh District Helpful for 32 4 Verified Purchase · Jan, 2025 || 5.0 • Awesome Review for: Color Black • Microphone Yes Best product Mitthu Babu , Muzaffarpur Helpful for 152 37 Verified Purchase · Dec, 2021 || 5.0 • Simply awesome Review for: Color Black • Microphone Yes All to very good Dev Kumar Yadav , Jhumri Tilaiya Helpful for 67 12 Verified Purchase · Oct, 2021 || 4.0 • Worth the money Review for: Color Black • Microphone Yes It's so nice product  I will order this product second times Shubham Kushwaha , Mysuru Helpful for 53 18 Verified Purchase · Jun, 2022 || 5.0 • Just wow! Review for: Color Black • Microphone Yes Battery backup is awesome sound quality lil bit low but it doesn't matter to me I m totally love with battery backup 🔋 Review After using 2 month  Battery backup is awesome awesome  Highly recommended Jyoti Singh , New Delhi Helpful for 318 93 Verified Purchase · Nov, 2021"
itm02e1970ebce38,"Mivi Duopods Infinity [New Launch], 3D Sound, 70 H, AI-...",5.0,"11,707",₹699,"5.0 • Wonderful Review for: Color Shadow black • Microphone Yes Good quality product. The bass is good and comes with good sound quality. Amazing product overall g must purchase at this price. Raunak Bajaj , Gurugram Helpful for 102 43 Verified Purchase · 11 months ago || 5.0 • Fabulous! Review for: Color Dune Beige • Microphone Yes Nice product and good battery backup Amit Kumar , Biharsharif Helpful for 6 Verified Purchase · 9 months ago || 5.0 • Classy product Review for: Color Frost Blue • Microphone Yes FULL PAISA VASOOL  According to price awesome product with good surround Bass is so good  Battery is upto 7 hours continuous use  50 hours with multiple times charging  Looks premium ANIL SAMADHIYA , Gwalior Helpful for 24 7 Verified Purchase · 11 months ago || 5.0 • Brilliant Review for: Color Frost Blue • Microphone Yes Nice product.attractive case long lasting battery. Good in sound quality. Rahul , Gurgaon Division Helpful for 21 6 Verified Purchase · 11 months ago || 5.0 • Excellent Review for: Color Shadow black • Microphone Yes Good earbuds with best battery backup Sachin Roy , Bhagalpur Helpful for 21 6 Verified Purchase · 11 months ago || 5.0 • Best in the market! Review for: Color Shadow black • Microphone Yes Very good Vinod Kumar Choudhary , Surat Helpful for 18 5 Verified Purchase · 11 months ago || 3.0 • Nice Review for: Color Frost Blue • Microphone Yes Call voice sound issue Gaurav Kumar , Patna Helpful for 19 7 Verified Purchase · 10 months ago || 3.0 • Nice Review for: Color Shadow black • Microphone Yes Charging point lose problem 😭😭💔 Susanta  Singh , Erode Helpful for 4 Verified Purchase · 2 months ago || 3.0 • Fair Review for: Color Frost Blue • Microphone Yes Charging point Mou karmakar , Siliguri Helpful for 4 Verified Purchase · 4 months ago || 5.0 • Awesome Review for: Color Frost Blue • Microphone Yes Nice product and value of money Flipkart Customer , Vindhya Nagar Ntpc Township Helpful for 15 4 Verified Purchase · 11 months ago"
